time,ECEF,sv,position,clock,velocity,dclock
2022-11-20 00:13:30,z,G15,15807.679928,-10.983642,4.764191520602147e-38,3.695978086061684e-57
2022-11-20 00:14:00,x,G15,-5816.092853,-10.983583,3.889570116331407e-33,6.013601294788e-154
2022-11-20 00:14:00,y,G15,20000.851078,-10.983583,4.393646583371047e-245,6.013601294788e-154
2022-11-20 00:14:00,z,G15,15869.462248,-10.983583,2.473840362360879e-91,6.013601294788e-154
2022-11-20 00:14:30,x,G15,-5844.095912,-10.983524,7.255573151014341e-43,1.6581417013108083e-76
2022-11-20 00:14:30,y,G15,19943.072308,-10.983524,1.787984752833284e-52,1.6581417013108083e-76
2022-11-20 00:14:30,z,G15,15930.927471,-10.983524,3.695365469902449e-57,1.6581417013108083e-76
2022-11-20 00:15:00,x,G15,-5872.263375,-10.98332,1.1333984227975559e-61,1.7294610297274985e-153
2022-11-20 00:15:00,y,G15,19885.113425,-10.98332,1.0314108674964047e-71,1.7294610297274985e-153
2022-11-20 00:15:00,z,G15,15992.074353,-10.98332,1.507462270575511e-153,1.7294610297274985e-153
2022-11-20 00:15:30,x,G15,-5900.595594,-10.983265,4.2612440824053626e-86,9.964234910442519e-48
2022-11-20 00:15:30,y,G15,19826.976008,-10.983265,6.038371051896735e-154,9.964234910442519e-48
2022-11-20 00:15:30,z,G15,16052.901653,-10.983265,5.93052926019413e-38,9.964234910442519e-48
2022-11-20 00:16:00,x,G15,-5929.092908,-10.983161,6.013470396958707e-154,7.10829695592084e-38
2022-11-20 00:16:00,y,G15,19768.661641,-10.983161,9.3544495926853e-67,7.10829695592084e-38
2022-11-20 00:16:00,z,G15,16113.408137,-10.983161,1.2822873307317813e-153,7.10829695592084e-38
2022-11-20 00:16:30,x,G15,-5957.75565,-10.983034,1.6575031185337066e-153,25103950.08
2022-11-20 00:16:30,y,G15,19710.171909,-10.983034,3.672032879469047e-62,25103950.08
2022-11-20 00:16:30,z,G15,16173.59258,-10.983034,6.013607118502758e-154,25103950.08
2022-11-20 00:17:00,x,G15,-5986.58414,-10.982912,2.1746237396197654e-76,1.0294184458908049e-71
2022-11-20 00:17:00,y,G15,19651.508406,-10.982912,3.33122486005072e+35,1.0294184458908049e-71
2022-11-20 00:17:00,z,G15,16233.45376,-10.982912,7.491136061845045e-67,1.0294184458908049e-71
2022-11-20 00:17:30,x,G15,-6015.578691,-10.982842,2.8963279156378595e-57,4.6614881457403034e-33
2022-11-20 00:17:30,y,G15,19592.672728,-10.982842,1.8058606018875588e+16,4.6614881457403034e-33
2022-11-20 00:17:30,z,G15,16292.990463,-10.982842,9.513284761218328e-43,4.6614881457403034e-33
2022-11-20 00:18:00,x,G15,-6044.739607,-10.982748,1.9179028226144394e-76,3.704444106015173e-245
2022-11-20 00:18:00,y,G15,19533.666476,-10.982748,3.311088981770484e-33,3.704444106015173e-245
2022-11-20 00:18:00,z,G15,16352.201484,-10.982748,1.7294576066788208e-153,3.704444106015173e-245
2022-11-20 00:18:30,x,G15,-6074.06718,-10.982653,2.4858256461624727e-91,6.723118460418987e-67
2022-11-20 00:18:30,y,G15,19474.491256,-10.982653,3.501436759985263e-33,6.723118460418987e-67
2022-11-20 00:18:30,z,G15,16411.085621,-10.982653,5.516754494019128e-48,6.723118460418987e-67
2022-11-20 00:19:00,x,G15,-6103.561694,-10.982555,4.851071862984938e-33,3.6984719822765183e-57
2022-11-20 00:19:00,y,G15,19415.148677,-10.982555,8.242221633749e-72,3.6984719822765183e-57
2022-11-20 00:19:00,z,G15,16469.641681,-10.982555,4.761909137597946e-38,3.6984719822765183e-57
2022-11-20 00:19:30,x,G15,-6133.223423,-10.982311,6.757988374214619e-67,6.038336887488665e-154
2022-11-20 00:19:30,y,G15,19355.640353,-10.982311,4.066463574189111e-86,6.038336887488665e-154
2022-11-20 00:19:30,z,G15,16527.868478,-10.982311,2.483442525709171e-91,6.038336887488665e-154
2022-11-20 00:20:00,x,G15,-6163.052633,-10.982203,8.542954611672275e-72,1.9107946273781943e-76
2022-11-20 00:20:00,y,G15,19295.967903,-10.982203,3.770701636436646e+77,1.9107946273781943e-76
2022-11-20 00:20:00,z,G15,16585.76483,-10.982203,7.491113136875213e-67,1.9107946273781943e-76
2022-11-20 00:20:30,x,G15,-6193.049578,-10.982093,1.2094188581332145e-153,6.0136012505075e-154
2022-11-20 00:20:30,y,G15,19236.132947,-10.982093,1.3049028510019099e-76,6.0136012505075e-154
2022-11-20 00:20:30,z,G15,16643.329564,-10.982093,5.401676414000053e-67,6.0136012505075e-154
2022-11-20 00:21:00,x,G15,-6223.214504,-10.981925,9.748102724420819e-72,5.347355872136182e-38
2022-11-20 00:21:00,y,G15,19176.137113,-10.981925,7.120221106576409e-67,5.347355872136182e-38
2022-11-20 00:21:00,z,G15,16700.561515,-10.981925,6.017601867116596e-67,5.347355872136182e-38
2022-11-20 00:21:30,x,G15,-6253.547647,-10.981861,2.4858254805786143e-91,5.401690519324776e-67
2022-11-20 00:21:30,y,G15,19115.98203,-10.981861,4.011492291190884e-57,5.401690519324776e-67
2022-11-20 00:21:30,z,G15,16757.459521,-10.981861,2.4737982907056013e-91,5.401690519324776e-67
2022-11-20 00:22:00,x,G15,-6284.049233,-10.981705,8.225636246616871e-67,6.75219830881187e-67
2022-11-20 00:22:00,y,G15,19055.669333,-10.981705,5.940824776137651e-38,6.75219830881187e-67
2022-11-20 00:22:00,z,G15,16814.02243,-10.981705,4.4711784676458094e-33,6.75219830881187e-67
2022-11-20 00:22:30,x,G15,-6314.719479,-10.981537,3.2161909575967467e-57,1.4322973141222676e-153
2022-11-20 00:22:30,y,G15,18995.200659,-10.981537,4.861279279972665e-86,1.4322973141222676e-153
2022-11-20 00:22:30,z,G15,16870.249097,-10.981537,2.967400465196231e-260,1.4322973141222676e-153
2022-11-20 00:23:00,x,G15,-6345.558591,-10.981441,4.563425702024628e-72,4.279606149557848e-38
2022-11-20 00:23:00,y,G15,18934.577649,-10.981441,2.582041363755144e-57,4.279606149557848e-38
2022-11-20 00:23:00,z,G15,16926.138381,-10.981441,2.004135314129507e-52,4.279606149557848e-38
2022-11-20 00:23:30,x,G15,-6376.566767,-10.98141,1.487111670733681e-76,3.6603925674771974e-86
2022-11-20 00:23:30,y,G15,18873.801949,-10.98141,1.66425467224742e-76,3.6603925674771974e-86
2022-11-20 00:23:30,z,G15,16981.689152,-10.98141,4.264401303112506e-86,3.6603925674771974e-86
2022-11-20 00:24:00,x,G15,-6407.744194,-10.981255,1.2082557373624613e-153,3.770719356838233e+77
2022-11-20 00:24:00,y,G15,18812.875207,-10.981255,4.4409439649411444e-38,3.770719356838233e+77
2022-11-20 00:24:00,z,G15,17036.900283,-10.981255,6.013589958545066e-154,3.770719356838233e+77
2022-11-20 00:24:30,x,G15,-6439.09105,-10.981201,1.7879847217687353e-52,3.536661430728891e-57
2022-11-20 00:24:30,y,G15,18751.799075,-10.981201,2.0053875715181777e-52,3.536661430728891e-57
2022-11-20 00:24:30,z,G15,17091.770656,-10.981201,1.572454643960587e-76,3.536661430728891e-57
2022-11-20 00:25:00,x,G15,-6470.607503,-10.980963,1.425824698916046e-71,1.3043994688123793e-76
2022-11-20 00:25:00,y,G15,18690.57521,-10.980963,4.418406832167878e-62,1.3043994688123793e-76
2022-11-20 00:25:00,z,G15,17146.299161,-10.980963,5.313451270042792e-245,1.3043994688123793e-76
2022-11-20 00:25:30,x,G15,-6502.293711,-10.980945,8.232880789879937e-67,1.5184500388737813e-47
2022-11-20 00:25:30,y,G15,18629.20527,-10.980945,8.977710946138656e-67,1.5184500388737813e-47
2022-11-20 00:25:30,z,G15,17200.484692,-10.980945,5.348498962127917e-38,1.5184500388737813e-47
2022-11-20 00:26:00,x,G15,-6534.149823,-10.980923,6.047077086597128e-154,2.4737982722397716e-91
2022-11-20 00:26:00,y,G15,18567.690918,-10.980923,1.91555057432899e-76,2.4737982722397716e-91
2022-11-20 00:26:00,z,G15,17254.326154,-10.980923,4.4060628413226315e-62,2.4737982722397716e-91
2022-11-20 00:26:30,x,G15,-6566.175977,-10.980996,1.4505617416217205e-47,1.3126330148352027e-71
2022-11-20 00:26:30,y,G15,18506.033819,-10.980996,1.571782702764586e-76,1.3126330148352027e-71
2022-11-20 00:26:30,z,G15,17307.822455,-10.980996,5.0655591723887146e-86,1.3126330148352027e-71
2022-11-20 00:27:00,x,G15,-6598.372302,-10.980921,4.856698481313027e-245,2.969396115610934e-260
2022-11-20 00:27:00,y,G15,18444.235642,-10.980921,2.473835707973348e-91,2.969396115610934e-260
2022-11-20 00:27:00,z,G15,17360.972514,-10.980921,1.1439384402170175e-71,2.969396115610934e-260
2022-11-20 00:27:30,x,G15,-6630.738917,-10.980728,4.563352311392505e-72,7.120118944588343e-67
2022-11-20 00:27:30,y,G15,18382.298059,-10.980728,1.8328983987608835e-76,7.120118944588343e-67
2022-11-20 00:27:30,z,G15,17413.775254,-10.980728,9.692683955216841e-72,7.120118944588343e-67
2022-11-20 00:28:00,x,G15,-6663.275931,-10.980596,1.3696705934308261e-71,1.5777378506142996e-52
2022-11-20 00:28:00,y,G15,18320.222745,-10.980596,1.5823358902476395e-153,1.5777378506142996e-52
2022-11-20 00:28:00,z,G15,17466.229607,-10.980596,1.0330518562417634e-47,1.5777378506142996e-52
2022-11-20 00:28:30,x,G15,-6695.983443,-10.9805,6.038376786269719e-154,4.085977751507034e-33
2022-11-20 00:28:30,y,G15,18258.011378,-10.9805,9.0492487884594e-43,4.085977751507034e-33
2022-11-20 00:28:30,z,G15,17518.334511,-10.9805,7.756112254388566e+25,4.085977751507034e-33
2022-11-20 00:29:00,x,G15,-6728.861543,-10.980478,1.4220523497924628e-71,3.311038816630707e-33
2022-11-20 00:29:00,y,G15,18195.665638,-10.980478,3.2186752544259086e-57,3.311038816630707e-33
2022-11-20 00:29:00,z,G15,17570.088913,-10.980478,7.499823964497508e-67,3.311038816630707e-33
2022-11-20 00:29:30,x,G15,-6761.910311,-10.980451,3.216181234209562e-57,7.399874656707565e-38
2022-11-20 00:29:30,y,G15,18133.187208,-10.980451,6.047077577761781e-154,7.399874656707565e-38
2022-11-20 00:29:30,z,G15,17621.491765,-10.980451,6.121029199930727e-62,7.399874656707565e-38
2022-11-20 00:30:00,x,G15,-6795.129816,-10.980442,8.242317002294171e-72,1.0361638090580715e-61
2022-11-20 00:30:00,y,G15,18070.577776,-10.980442,5.1562647237171675e-62,1.0361638090580715e-61
2022-11-20 00:30:00,z,G15,17672.542028,-10.980442,6.013470018829576e-154,1.0361638090580715e-61
2022-11-20 00:30:30,x,G15,-6828.520117,-10.980465,3.940437883825976e-245,1.04049573715207e-42
2022-11-20 00:30:30,y,G15,18007.839031,-10.980465,4.563425736886676e-72,1.04049573715207e-42
2022-11-20 00:30:30,z,G15,17723.238669,-10.980465,2.740105989757566e-57,1.04049573715207e-42
2022-11-20 00:31:00,x,G15,-6862.081265,-10.980349,5.348490221534085e-38,4.060977578580084e-86
2022-11-20 00:31:00,y,G15,17944.972663,-10.980349,5.645323569343077e-62,4.060977578580084e-86
2022-11-20 00:31:00,z,G15,17773.580665,-10.980349,3.456171211137396e-86,4.060977578580084e-86
2022-11-20 00:31:30,x,G15,-6895.813299,-10.980174,9.049269502709341e-43,2.1081547568456185e-52
2022-11-20 00:31:30,y,G15,17881.980367,-10.980174,3.3080298390683686e-33,2.1081547568456185e-52
2022-11-20 00:31:30,z,G15,17823.566996,-10.980174,1.2575800212385084e-71,2.1081547568456185e-52
2022-11-20 00:32:00,x,G15,-6929.716249,-10.980094,6.01347001891742e-154,1.2844693997222918e-57
2022-11-20 00:32:00,y,G15,17818.863839,-10.980094,6.00460113019475e-67,1.2844693997222918e-57
2022-11-20 00:32:00,z,G15,17873.196653,-10.980094,1.5811865720595712e-153,1.2844693997222918e-57
2022-11-20 00:32:30,x,G15,-6963.790136,-10.979974,4.869189321286523e-86,8.552938378259632e-72
2022-11-20 00:32:30,y,G15,17755.624779,-10.979974,2.485834853216979e-91,8.552938378259632e-72
2022-11-20 00:32:30,z,G15,17922.468633,-10.979974,1.7937278119083203e-52,8.552938378259632e-72
2022-11-20 00:33:00,x,G15,-6998.034969,-10.979863,3.7706994711485296e+77,5.649256061662431e-38
2022-11-20 00:33:00,y,G15,17692.264887,-10.979863,9.730380834251213e-72,5.649256061662431e-38
2022-11-20 00:33:00,z,G15,17971.38194,-10.979863,9.16224238800032e-72,5.649256061662431e-38
2022-11-20 00:33:30,x,G15,-7032.450749,-10.979743,1.7237183480117373e-47,2.4864272232862523e-91
2022-11-20 00:33:30,y,G15,17628.785867,-10.979743,8.162893325849887e-43,2.4864272232862523e-91
2022-11-20 00:33:30,z,G15,18019.935587,-10.979743,3.8638099391152565e-86,2.4864272232862523e-91
2022-11-20 00:34:00,x,G15,-7067.037465,-10.979712,1.5761081206763175e-52,8.604288631353721e-43
2022-11-20 00:34:00,y,G15,17565.189424,-10.979712,8.242329922679156e-72,8.604288631353721e-43
2022-11-20 00:34:00,z,G15,18068.128592,-10.979712,5.642437719855966e-62,8.604288631353721e-43
2022-11-20 00:34:30,x,G15,-7101.795097,-10.9797,2.4737982998490835e-91,1.8328931791570468e-76
2022-11-20 00:34:30,y,G15,17501.477267,-10.9797,5.881759337287246e-62,1.8328931791570468e-76
2022-11-20 00:34:30,z,G15,18115.959983,-10.9797,7.150817206823093e-67,1.8328931791570468e-76
2022-11-20 00:35:00,x,G15,-7136.723617,-10.979608,8.227187451982433e-67,1.4502924345484022e-47
2022-11-20 00:35:00,y,G15,17437.651106,-10.979608,4.563352378864629e-72,1.4502924345484022e-47
2022-11-20 00:35:00,z,G15,18163.428795,-10.979608,1.1303608140019828e-42,1.4502924345484022e-47
2022-11-20 00:35:30,x,G15,-7171.822983,-10.979448,3.6999863874307865e-33,1.5765167455784342e-52
2022-11-20 00:35:30,y,G15,17373.71265,-10.979448,1.2831328021548387e-153,1.5765167455784342e-52
2022-11-20 00:35:30,z,G15,18210.534068,-10.979448,4.4363521903727245e-38,1.5765167455784342e-52
2022-11-20 00:36:00,x,G15,-7207.093146,-10.9792,1.3142466348306489e-47,7.273116590040309e-43
2022-11-20 00:36:00,y,G15,17309.663616,-10.9792,1.723980351555375e-47,7.273116590040309e-43
2022-11-20 00:36:00,z,G15,18257.274854,-10.9792,1.0860199622553456e-71,7.273116590040309e-43
2022-11-20 00:36:30,x,G15,-7242.534047,-10.979095,2.90945420707368e-57,1.3574409023334847e-153
2022-11-20 00:36:30,y,G15,17245.505717,-10.979095,4.059382123157046e-86,1.3574409023334847e-153
2022-11-20 00:36:30,z,G15,18303.650208,-10.979095,6.041273174543589e-154,1.3574409023334847e-153
2022-11-20 00:37:00,x,G15,-7278.145615,-10.978984,1.304232113953594e-76,8.598096835542234e-67
2022-11-20 00:37:00,y,G15,17181.24067,-10.978984,6.013584268975928e-154,8.598096835542234e-67
2022-11-20 00:37:00,z,G15,18349.659195,-10.978984,8.161128205197549e-43,8.598096835542234e-67
2022-11-20 00:37:30,x,G15,-7313.92777,-10.978858,3.378594545447701e-57,1.1994344559782412e-71
2022-11-20 00:37:30,y,G15,17116.870195,-10.978858,6.004555784265528e-67,1.1994344559782412e-71
2022-11-20 00:37:30,z,G15,18395.300889,-10.978858,7.130358052609754e-67,1.1994344559782412e-71
2022-11-20 00:38:00,x,G15,-7349.880423,-10.978665,6.127657246084601e-62,4.563434388465255e-72
2022-11-20 00:38:00,y,G15,17052.396012,-10.978665,4.392770057596522e-245,4.563434388465255e-72
2022-11-20 00:38:00,z,G15,18440.574368,-10.978665,4.563447310308769e-72,4.563434388465255e-72
2022-11-20 00:38:30,x,G15,-7386.003473,-10.97853,2.1069487987641077e-52,1.0401488043055199e-42
2022-11-20 00:38:30,y,G15,16987.819843,-10.97853,3.2982496341443507e-33,1.0401488043055199e-42
2022-11-20 00:38:30,z,G15,18485.478721,-10.97853,1.3142560190814926e-47,1.0401488043055199e-42
2022-11-20 00:39:00,x,G15,-7422.296811,-10.978395,1.7294287456719937e-66,1.5808791830210062e-153
2022-11-20 00:39:00,y,G15,16923.14341,-10.978395,6.823620369406825e-38,1.5808791830210062e-153
2022-11-20 00:39:00,z,G15,18530.013042,-10.978395,1.5823393177241303e-153,1.5808791830210062e-153
2022-11-20 00:39:30,x,G15,-7458.760316,-10.978308,3.8590911697451726e-86,6.352197844839194e-67
2022-11-20 00:39:30,y,G15,16858.368439,-10.978308,6.039816355797461e-154,6.352197844839194e-67
2022-11-20 00:39:30,z,G15,18574.176435,-10.978308,7.114431221660446e-67,6.352197844839194e-67
2022-11-20 00:40:00,x,G15,-7495.39386,-10.978317,2.911943413184388e-57,2.483437871285223e-91
2022-11-20 00:40:00,y,G15,16793.496656,-10.978317,3.2566594684028765e-86,2.483437871285223e-91
2022-11-20 00:40:00,z,G15,18617.96801,-10.978317,6.04711131690992e-154,2.483437871285223e-91
2022-11-20 00:40:30,x,G15,-7532.1973,-10.978274,6.759420303472337e-67,8.983540406892078e-67
2022-11-20 00:40:30,y,G15,16728.529787,-10.978274,4.909327685929171e-62,8.983540406892078e-67
2022-11-20 00:40:30,z,G15,18661.386886,-10.978274,9.506443099756014e-43,8.983540406892078e-67
2022-11-20 00:41:00,x,G15,-7569.170488,-10.978294,1.581458451715759e-153,2.485230898429396e-91
2022-11-20 00:41:00,y,G15,16663.46956,-10.978294,2.9074033805098145e-33,2.485230898429396e-91
